disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Chronic Illness,Physical Modification,Vision,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,5.8,58,1,1
Musculoskeletal,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Small (<50),Finance/Insurance,0.5,15,0,1
Chronic Illness,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Healthcare,6.3,44,1,1
Sensory (Vision/Hearing),Assistive Technology,Dexterity,$0 (No Cost),Small (<50),Retail/Hospitality,0.5,18,0,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,0.5,36,2,0
Cognitive,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Finance/Insurance,6.4,14,1,1
Chronic Illness,Leave of Absence,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Technology,0.5,54,0,0
Chronic Illness,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,1.4,12,0,0
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Large (500+),Manufacturing,8.6,26,1,1
Musculoskeletal,Leave of Absence,Dexterity,$0 (No Cost),Large (500+),Manufacturing,0.5,34,0,0
Musculoskeletal,Flexible Scheduling,Mobility,$1–$500,Large (500+),Manufacturing,0.6,19,1,1
Cognitive,Flexible Scheduling,Vision,$1–$500,Large (500+),Manufacturing,3.6,55,0,1
Sensory (Vision/Hearing),Physical Modification,Dexterity,"$501–$2,000",Small (<50),Healthcare,18.3,8,0,1
Chronic Illness,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Finance/Insurance,5.1,19,2,1
Musculoskeletal,Policy Change / Exemption,Mobility,$0 (No Cost),Small (<50),Finance/Insurance,13.3,22,0,1
Psychiatric,Remote Work / Telework,Dexterity,$0 (No Cost),Small (<50),Retail/Hospitality,12.9,37,1,1
Neurological,Flexible Scheduling,Hearing,$0 (No Cost),Small (<50),Government/Public Sector,22.5,45,0,0
Psychiatric,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,8.9,15,0,1
Chronic Illness,Flexible Scheduling,Mobility,$1–$500,Large (500+),Education,5.4,34,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Healthcare,0.7,7,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Communication,$0 (No Cost),Large (500+),Healthcare,5.6,17,0,1
Musculoskeletal,Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Education,3.7,6,2,1
